accx,accy,accz
0.0983,0.283,0.9432
0.0914,0.287,0.9432
0.0914,0.286,0.9446
0.088,0.285,0.9417
0.088,0.2904,0.9432
0.0812,0.2948,0.9436
0.0797,0.3006,0.9373
0.0812,0.3075,0.9407
0.0758,0.3089,0.9358
0.0783,0.3153,0.9383
0.0734,0.3192,0.9436
0.0739,0.3167,0.9373
0.0724,0.3163,0.9392
0.0729,0.3153,0.948
0.0704,0.3138,0.9441
0.0719,0.3099,0.9485
0.0739,0.304,0.949
0.0743,0.2972,0.9475
0.0641,0.2997,0.9475
0.069,0.2972,0.9539
0.0704,0.2967,0.9515
0.0763,0.3001,0.9505
0.0807,0.3021,0.9519
0.0822,0.3021,0.949
0.0758,0.306,0.9456
0.0792,0.307,0.9441
0.0778,0.307,0.9432
0.0748,0.3094,0.9407
0.0753,0.3123,0.9427
0.0739,0.3084,0.9353
0.0729,0.3084,0.9329
0.0714,0.3128,0.9285
0.0709,0.3123,0.9256
0.0763,0.3104,0.9368
0.0758,0.3138,0.9441
0.0787,0.3133,0.9515
0.0758,0.3084,0.9637
0.0743,0.3094,0.9725
0.0743,0.305,0.9749
0.0758,0.305,0.9773
0.0787,0.3011,0.9798
0.0778,0.3011,0.9852
0.0763,0.2987,0.9828
0.0783,0.3011,0.9862
0.0797,0.3026,0.9837
0.0768,0.306,0.9833
0.0807,0.3114,0.9828
0.0817,0.3163,0.9788
0.0851,0.3304,0.9715
0.0846,0.3314,0.971
0.0812,0.3368,0.9681
0.0787,0.3446,0.9656
0.0714,0.3515,0.949
0.069,0.35,0.951
0.0646,0.3564,0.9544
0.0587,0.3554,0.9549
0.0568,0.3588,0.9588
0.0529,0.3603,0.9588
0.049,0.352,0.9681
0.0504,0.3515,0.9734
0.0465,0.3431,0.9798
0.048,0.3412,0.9881
0.0421,0.3275,1.0018
0.0455,0.3207,1.0067
0.048,0.307,1.0189
0.0553,0.285,1.0306
0.0534,0.2806,1.0379
0.0597,0.2699,1.0546
0.0631,0.2616,1.0629
0.0763,0.2537,1.0619
0.0797,0.2528,1.0638
0.0861,0.2469,1.0624
0.09,0.244,1.055
0.088,0.242,1.0516
0.1007,0.2435,1.0345
0.1012,0.2425,1.0272
0.1105,0.2396,1.0155
0.1096,0.245,1.0082
0.1071,0.2454,0.9974
0.1105,0.2494,0.9906
0.1076,0.2537,0.9847
0.1022,0.2596,0.97
0.1041,0.2664,0.9637
0.091,0.2708,0.9485
0.0792,0.2762,0.9471
0.066,0.2835,0.9446
0.0485,0.2904,0.9461
0.0314,0.2948,0.9451
0.0172,0.2948,0.9383
