accx,accy,accz
-0.189,0.3314,0.8929
-0.1758,0.3177,0.8762
-0.1646,0.3133,0.8762
-0.1099,0.3026,0.8703
-0.0717,0.285,0.8694
-0.04,0.2757,0.8816
-0.0224,0.2684,0.8889
0.0055,0.2616,0.9021
0.0241,0.2474,0.9212
0.0338,0.2494,0.9339
0.045,0.2371,0.9671
0.0431,0.2381,0.9788
0.0367,0.245,0.9881
0.0338,0.245,0.9984
0.0265,0.2484,1.0111
0.0172,0.2474,1.0023
-0.0004,0.2572,0.9974
-0.0112,0.2655,0.995
-0.0209,0.266,0.9955
-0.0341,0.265,1.0003
-0.04,0.2621,1.0086
-0.0463,0.266,1.0091
-0.0532,0.266,1.013
-0.0541,0.2699,1.014
-0.0522,0.2865,1.0257
-0.0507,0.2904,1.0228
-0.0497,0.2928,1.0277
-0.0414,0.2962,1.0243
-0.0429,0.2967,1.0223
-0.0317,0.2977,1.0194
-0.0234,0.2977,1.0116
-0.0136,0.2938,1.0111
-0.0126,0.2933,1.0067
-0.0038,0.2889,1.0028
0.0006,0.2855,1.0043
0.004,0.2806,1.0043
0.0055,0.2835,1.0043
-0.0014,0.2791,1.0082
-0.0014,0.2826,1.014
-0.0131,0.2801,1.0204
-0.0219,0.2791,1.0404
-0.0288,0.2806,1.0438
-0.0449,0.2811,1.0614
-0.0576,0.2811,1.0853
-0.0747,0.285,1.1127
-0.0844,0.2816,1.1274
-0.0957,0.2772,1.1308
-0.1104,0.2777,1.1503
-0.124,0.2669,1.164
-0.1299,0.2645,1.1664
-0.1421,0.2581,1.1791
-0.1509,0.2528,1.1782
-0.1582,0.2498,1.1743
-0.1568,0.242,1.1703
-0.1538,0.2391,1.165
-0.1597,0.2385,1.1498
-0.1485,0.2346,1.143
-0.1353,0.2415,1.1313
-0.1284,0.244,1.124
-0.1187,0.245,1.1127
-0.1,0.2445,1.1078
-0.0903,0.243,1.0991
-0.0859,0.2396,1.0961
-0.0747,0.2342,1.0888
-0.0634,0.2307,1.0868
-0.0571,0.218,1.0839
-0.0502,0.2122,1.0804
-0.0517,0.197,1.0799
-0.0517,0.1897,1.0843
-0.0512,0.1673,1.0907
-0.0478,0.1565,1.101
-0.0424,0.1511,1.1108
-0.0502,0.1375,1.122
-0.0517,0.1242,1.1327
-0.0629,0.113,1.1489
-0.0639,0.1081,1.162
-0.0727,0.1003,1.1772
-0.0786,0.0969,1.1796
-0.0927,0.0895,1.1869
-0.1015,0.0895,1.1865
-0.1216,0.0832,1.1855
-0.1358,0.0895,1.184
-0.1485,0.0935,1.1733
-0.1538,0.0959,1.1738
-0.1597,0.1047,1.1567
-0.1763,0.1203,1.1254
-0.1782,0.1281,1.1152
-0.1778,0.1286,1.1069
-0.1782,0.1365,1.0986
-0.1778,0.1428,1.0888
-0.1768,0.1443,1.0799
-0.1714,0.1487,1.076
-0.1695,0.1507,1.076
-0.167,0.1531,1.0736
-0.1572,0.1492,1.0702
-0.1514,0.1433,1.0736
-0.1333,0.1271,1.0712
-0.1333,0.1218,1.0692
-0.1177,0.1013,1.0589
-0.1054,0.0915,1.0492
-0.0986,0.0822,1.0414
-0.0888,0.0773,1.0345
-0.079,0.0729,1.0223
-0.079,0.0661,1.0145
-0.0815,0.0583,1.0047
-0.0771,0.0578,1.0028
-0.0854,0.0583,0.9906
