accx,accy,accz
-0.0517,0.2117,0.9632
-0.0541,0.2092,0.971
-0.0546,0.2122,0.9768
-0.0581,0.2112,0.9803
-0.0615,0.2127,0.9886
-0.06,0.2102,0.9886
-0.0595,0.2097,0.9916
-0.0605,0.2176,0.9896
-0.0585,0.221,0.9798
-0.0497,0.2288,0.9729
-0.0541,0.2327,0.9676
-0.0488,0.2356,0.9598
-0.0512,0.2385,0.9358
-0.0507,0.2469,0.9231
-0.0458,0.2454,0.9139
-0.0424,0.2459,0.9031
-0.0419,0.244,0.8963
-0.0463,0.2445,0.8826
-0.039,0.2411,0.8787
-0.0327,0.2366,0.8674
-0.0253,0.2307,0.8659
-0.0263,0.2298,0.8767
-0.0273,0.2283,0.8846
-0.0302,0.219,0.8972
-0.0341,0.2195,0.9109
-0.039,0.2161,0.9427
-0.0424,0.2102,0.9808
-0.0502,0.2068,1.0135
-0.0497,0.2063,1.0272
-0.0532,0.2024,1.0404
-0.06,0.2014,1.0653
-0.0649,0.1995,1.077
-0.0624,0.199,1.0824
-0.0634,0.2019,1.0804
-0.0576,0.2092,1.078
-0.0541,0.2161,1.0658
-0.0458,0.218,1.0609
-0.0419,0.2224,1.0555
-0.0297,0.2288,1.0506
-0.0204,0.2415,1.0546
-0.0156,0.2464,1.0619
-0.0092,0.2528,1.0702
-0.0038,0.2572,1.0785
-0.0048,0.2591,1.0863
0.0006,0.2572,1.1015
0.0021,0.2572,1.1093
0.006,0.2533,1.1259
0.0089,0.2513,1.1303
0.0089,0.2464,1.1415
0.0133,0.2415,1.1586
0.0197,0.2411,1.1655
0.0172,0.2307,1.185
0.0182,0.2249,1.2041
0.0157,0.2195,1.2158
0.0094,0.2161,1.2314
0.0031,0.2073,1.25
-0.0038,0.2053,1.2695
-0.0092,0.1995,1.2788
-0.019,0.1951,1.2994
-0.0234,0.1912,1.3048
-0.0292,0.1843,1.3126
-0.0307,0.1824,1.3131
-0.0307,0.1824,1.3116
-0.0331,0.1775,1.3092
-0.0307,0.1765,1.3018
-0.0297,0.1843,1.2896
-0.0292,0.1917,1.2661
-0.0248,0.1975,1.2539
-0.0244,0.2014,1.2398
-0.0126,0.2136,1.2031
-0.0146,0.2156,1.1913
-0.0024,0.2239,1.1562
0.0016,0.2268,1.1415
0.0128,0.2239,1.1098
0.0294,0.2044,1.0721
0.0324,0.1995,1.0716
0.0324,0.1863,1.0755
0.027,0.1682,1.0843
0.0216,0.1585,1.0956
0.0148,0.138,1.1093
0.007,0.1276,1.1244
0.0021,0.1164,1.1396
-0.0034,0.1071,1.1489
-0.0043,0.1013,1.1503
